race_date,time,venue,race_no,race_no_num,candidate_source,rating,selection,base_ai_score,base_ai_rating,base_ai_selection,base_reason_text,final_ai_score,final_ai_rating,final_ai_selection,final_rank,latest_reason_text,latest_updated_at,exhibition,exhibition_rank,weather,wind_speed,wave_height,wind_type,wind_dir,water_state_score,ai_lane_score_text,class_history_text,player_names_text,player_stat_text,player_reason_text,result_trifecta_text,result_trifecta_payout,result_exacta_text,result_exacta_payout,result_trio_text,result_trio_payout,settled_flag,settled_at,result_source_url,imported_at,purchased,purchased_selection_text,amount,hit,payout,memo,bet_type,series_day,race_phase,base_raw_score,base_raw_label,base_raw_reason_text,base_updated_at,day_trend_text,day_trend_sample
2026-04-25,08:32,唐津,1R,1,official_all,★★☆☆☆,1-4-6 / 1-6-4 / 1-4-3 / 1-6-3 / 1-3-4 / 1-3-6,0.34,AI★★☆☆☆,1-6-4 / 1-6-5 / 1-6-3 / 1-6-2 / 1-4-6 / 1-4-5,base土台○ / 当地巧者 / 級別傾向強い / 1号艇有利 / 攻めやや注意,0.41,AI★☆☆☆☆,1-6-5 / 1-6-3 / 1-6-2 / 3-1-5 / 2-1-5 / 3-1-2,見送り寄り,"公式低評価AI検証 / 朝:base土台○ / 当地巧者 / 級別傾向強い / 1号艇有利 / 攻めやや注意 / base土台をやや保持 / 直前:展示差あり / 展示タイム差を確認 / 足:足差ややあり / 足:ST気配あり / 部品交換:5,6 / 整備:チルト:1:-0.5,2:-0.5,3:-0.5,4:0,5:-0.5,6:-0.5 / 部品交換:5:ピストン,リング,ピストンリング,6:ピストン,リング,ピストンリング,シリンダ,ギヤケース,電気,電気一式,キャブ,キャブレタ,シャフト,クランク / 直前差中で少し動かす / 隊形:1逃げ本線",2026-04-25 16:16:30 JST,"[""6.64"", ""6.68"", ""6.70"", ""6.78"", ""6.72"", ""6.70""]",1:1 / 2:2 / 3:3 / 4:6 / 5:5 / 6:3,晴,4.0,4.0,,,0.0,1:0.27 / 2:-0.06 / 3:-0.05 / 4:-0.31 / 5:0.03 / 6:-0.09,1:A2 / A1 / A2 / A2 / 2:B1 / B1 / B1 / B1 / 3:B1 / B1 / B1 / B1 / 4:B1 / B1 / A2 / A2 / 5:B1 / B2 / B1 / B1 / 6:B1 / B1 / B1 / B1,1:丹下 将 / 2:佐竹友樹 / 3:酒井陽祐 / 4:牧山敦也 / 5:高木圭大 / 6:大澤大夢,1:-勝率|+当地|-モータ|-ST|+級別 / 2:-勝率|+当地|-モータ|-ST / 3:-勝率|+当地|-モータ|-ST|-近況 / 4:-勝率|+当地|-モータ|-ST|-近況 / 5:+当地|-モータ|-級別 / 6:-モータ,1:-勝率|+当地|-モータ|-ST|+級別 / 2:-勝率|+当地|-モータ|-ST / 3:-勝率|+当地|-モータ|-ST|-近況 / 4:-勝率|+当地|-モータ|-ST|-近況 / 5:+当地|-モータ|-級別 / 6:-モータ,1-2-3,960,,,,,,,https://boatrace.jp/owpc/pc/race/resultlist?hd=20260425&jcd=23,2026-04-25 16:16:31 JST,,,100,,,,3連単,3,,-0.72,base素材危険,base素材危険 / 当地巧者 / 級別傾向強い / 1号艇有利,2026-04-25 03:59:01 JST,,0
2026-04-25,08:40,鳴門,1R,1,official_all,★★☆☆☆,3-4-2 / 3-2-4 / 3-4-5 / 3-2-5 / 3-5-4 / 3-5-2,0.44,AI★★☆☆☆,3-6-5 / 3-6-4 / 3-6-2 / 3-6-1 / 3-5-6 / 3-5-4,base保留 / 当地巧者 / 級別傾向強い / 中枠攻め候補 / インやや強め,0.53,AI★☆☆☆☆,1-2-3 / 3-2-1 / 2-3-1 / 3-6-4 / 3-6-2 / 3-6-5,見送り寄り,"公式低評価AI検証 / 朝:base保留 / 当地巧者 / 級別傾向強い / 中枠攻め候補 / インやや強め / base保留で買い上げ慎重 / 直前:展示差あり / 展示タイム差を確認 / 気象安定 / 足:足差ややあり / 展示F:1,3注意 / チルト高:3:1 / 部品交換:5,6 / 足:5号艇足色良さげ / 整備:チルト:1:0,2:-0.5,3:1,4:0,5:-0.5,6:-0.5 / 部品交換:5:ピストン,リング,ピストンリング,6:ピストン,リング,ピストンリング,シリンダ,ギヤケース,電気,電気一式,キャブ,キャブレタ,シャフト,クランク / 直前差小で朝寄り / 隊形:3攻め注意 / 2差し注意 / 開催:2日目でやや本命寄り",2026-04-25 16:16:30 JST,"[""6.79"", ""6.73"", ""6.73"", ""6.77"", ""6.90"", ""6.87""]",1:4 / 2:1 / 3:1 / 4:3 / 5:6 / 6:5,晴,2.0,2.0,,,0.08,1:0.03 / 2:0.19 / 3:0.13 / 4:-0.02 / 5:-0.29 / 6:-0.23,1:B1 / B2 / B2 / B2 / 2:B1 / B1 / B1 / B1 / 3:A2 / A2 / A2 / A2 / 4:B1 / B1 / A2 / A2 / 5:B1 / B1 / B1 / B1 / 6:B1 / B1 / B1 / B1,1:草川壮良 / 2:近藤稔也 / 3:酒見峻介 / 4:一柳和孝 / 5:中里昌志 / 6:森下 勇,1:-勝率|+当地|-モータ|-ST|-級別 / 2:-勝率|+当地|-モータ|-ST / 3:-勝率|+当地|-モータ|-ST|-近況|+級別 / 4:-勝率|+当地|-モータ|-ST|-近況 / 5:+当地|-モータ / 6:-モータ,1:-勝率|+当地|-モータ|-ST|-級別 / 2:-勝率|+当地|-モータ|-ST / 3:-勝率|+当地|-モータ|-ST|-近況|+級別 / 4:-勝率|+当地|-モータ|-ST|-近況 / 5:+当地|-モータ / 6:-モータ,3-2-5,1790,,,,,,,https://boatrace.jp/owpc/pc/race/resultlist?hd=20260425&jcd=14,2026-04-25 16:16:31 JST,,,100,,,,3連単,2,,-0.6,base素材危険,base素材危険 / 当地巧者 / 級別傾向強い / 中枠攻め候補,2026-04-25 03:59:01 JST,,0
2026-04-25,08:48,芦屋,1R,1,official_all,★★★☆☆,1-2-3 / 1-3-2 / 1-2-6 / 1-3-6 / 1-6-2 / 1-6-3,1.21,AI★★★☆☆,6-5-1 / 6-5-3 / 6-5-2 / 6-5-4 / 6-1-5 / 6-1-3,base危険 / 選手力上位 / インやや強め,1.2,AI★★☆☆☆,1-2-3 / 3-2-6 / 2-6-3 / 6-2-3 / 4-2-3 / 6-5-1,様子見,"公式低評価AI検証 / 朝:base危険 / 選手力上位 / インやや強め / base危険で買い上げ抑制 / 直前:進入:1-2-3-4-6-5 / 前づけで波乱含み / 気象荒れ気味 / 波高6cm / 足:ST気配あり / 足:進入変化 / 部品交換:5,6 / 6前づけ / 足:3号艇足色良さげ / 整備:チルト:1:0,2:-0.5,3:0,4:0,5:0,6:0 / 部品交換:5:ピストン,リング,ピストンリング,6:ピストン,リング,ピストンリング,シリンダ,ギヤケース,電気,電気一式,キャブ,キャブレタ,シャフト,クランク / 進入変化ありで少し動かす / 隊形:3攻め注意 / 2差し注意 / 進入:1-2-3-4-6-5 / 開催:2日目でやや本命寄り",2026-04-25 16:16:30 JST,"[""6.73"", ""6.75"", ""6.76"", ""6.78"", ""6.81"", ""6.77""]",1:1 / 2:2 / 3:3 / 4:5 / 5:6 / 6:4,晴,6.0,6.0,,,-0.2,1:-0.12 / 2:0.06 / 3:0.18 / 4:0.05 / 5:-0.15 / 6:0.12,1:A2 / A2 / A2 / B1 / 2:B1 / B1 / B1 / B1 / 3:B1 / B1 / B1 / B1 / 4:B2 / B2 / B1 / B1 / 5:B1 / B1 / B1 / B1 / 6:B1 / B1 / A2 / A2,1:岡村将也 / 2:川添英正 / 3:上野秀和 / 4:小野京平 / 5:小川晃司 / 6:待鳥雄紀,1:-勝率|+当地|-モータ|-ST|+級別 / 2:-勝率|+当地|-モータ|-ST / 3:-勝率|+当地|-モータ|-ST|-近況 / 4:-勝率|+当地|-モータ|-ST|-近況|-級別 / 5:+当地|-モータ / 6:-モータ,1:-勝率|+当地|-モータ|-ST|+級別 / 2:-勝率|+当地|-モータ|-ST / 3:-勝率|+当地|-モータ|-ST|-近況 / 4:-勝率|+当地|-モータ|-ST|-近況|-級別 / 5:+当地|-モータ / 6:-モータ,1-2-6,1610,,,,,,,https://boatrace.jp/owpc/pc/race/resultlist?hd=20260425&jcd=21,2026-04-25 16:16:31 JST,,,100,,,,3連単,2,,-0.55,base素材危険,base素材危険 / 選手力上位,2026-04-25 03:59:01 JST,,0
2026-04-25,08:58,唐津,2R,2,official_all,★★★★★,2-1-3 / 2-3-1 / 2-1-5 / 2-3-5 / 2-5-1 / 2-5-3,4.84,AI★★★★★,2-1-6 / 2-1-5 / 2-1-4 / 2-1-3 / 2-6-1 / 2-6-5,base土台○ / 当地巧者 / 級別傾向強い / 攻めやや注意,5.03,AI★★★★★,1-4-3 / 4-1-3 / 3-4-1 / 2-1-4 / 5-4-3 / 2-1-3,様子見,"朝:base土台○ / 当地巧者 / 級別傾向強い / 攻めやや注意 / base土台をやや保持 / 直前:展示差あり / 展示タイム差を確認 / 進入:1-2-4-5-6-3 / 前づけで波乱含み / 気象安定 / 足:足差あり / 展示F:2,3,6注意 / 足:ST気配あり / 足:進入変化 / チルト高:3:3 / 整備:チルト:1:-0.5,2:-0.5,3:3,4:0,5:-0.5,6:0 / 部品交換:6:リング / 進入変化ありで少し動かす / 隊形:4攻め注意 / 進入:1-2-4-5-6-3",2026-04-25 16:16:30 JST,"[""6.74"", ""6.71"", ""6.55"", ""6.65"", ""6.72"", ""6.75""]",1:5 / 2:3 / 3:1 / 4:2 / 5:4 / 6:6,晴,2.0,2.0,,,0.08,1:-0.02 / 2:-0.17 / 3:0.13 / 4:0.25 / 5:-0.21 / 6:-0.34,1:A1 / A1 / A1 / A2 / 2:A1 / A1 / A1 / A1 / 3:B1 / B1 / B1 / B1 / 4:B1 / B1 / B1 / B1 / 5:B1 / B1 / B1 / B1 / 6:B1 / B1 / B1 / B1,1:葛原大陽 / 2:渡邉和将 / 3:眞鳥康太 / 4:村上彰一 / 5:早川尚人 / 6:田中宏典,1:-勝率|+当地|-モータ|+級別 / 2:-勝率|+当地|-モータ|+級別 / 3:-勝率|+当地|-モータ|-ST|-近況 / 4:-勝率|+当地|-モータ|-ST|-近況 / 5:+当地|-モータ / 6:-モータ,1:-勝率|+当地|-モータ|+級別 / 2:-勝率|+当地|-モータ|+級別 / 3:-勝率|+当地|-モータ|-ST|-近況 / 4:-勝率|+当地|-モータ|-ST|-近況 / 5:+当地|-モータ / 6:-モータ,1-2-6,880,,,,,,,https://boatrace.jp/owpc/pc/race/resultlist?hd=20260425&jcd=23,2026-04-25 16:16:31 JST,,,100,,,,3連単,3,,4.05,base素材○,base素材○ / 当地巧者 / 級別傾向強い,2026-04-25 03:59:01 JST,,0
2026-04-25,09:06,鳴門,2R,2,official_all,★★★★★,6-5-1 / 6-1-5 / 6-5-4 / 6-1-4 / 6-4-5 / 6-4-1,10.26,AI★★★★★,6-5-4 / 6-5-2 / 6-5-3 / 6-5-1 / 6-4-5 / 6-4-2,base土台○ / 地力上位 / 級別傾向強い / インやや強め,10.36,AI★★★★★,1-3-5 / 1-2-5 / 1-3-2 / 3-1-5 / 6-5-1 / 6-5-4,買い,"朝:base土台○ / 地力上位 / 級別傾向強い / インやや強め / base土台をやや保持 / 直前:気象安定 / 展示F:2注意 / 足:ST気配あり / 部品交換:5,6 / 足:1号艇足色良さげ / 整備:チルト:1:0,2:0,3:-0.5,4:0,5:0,6:0 / 部品交換:5:ピストン,リング,ピストンリング,6:ピストン,リング,ピストンリング,シリンダ,ギヤケース,電気,電気一式,キャブ,キャブレタ,シャフト,クランク / 直前差小で朝寄り / 朝評価をやや優先 / 隊形:1逃げ本線 / 開催:2日目でやや本命寄り",2026-04-25 16:16:30 JST,"[""6.73"", ""6.82"", ""6.83"", ""6.80"", ""6.74"", ""6.81""]",1:1 / 2:5 / 3:6 / 4:3 / 5:2 / 6:4,曇,2.0,2.0,,,0.08,1:0.40 / 2:-0.07 / 3:-0.08 / 4:-0.07 / 5:-0.02 / 6:-0.21,1:B2 / B1 / B1 / B1 / 2:B1 / B1 / B1 / B1 / 3:B2 / B1 / B1 / B1 / 4:B1 / B1 / B1 / B1 / 5:A2 / B1 / B1 / B1 / 6:A1 / A1 / A1 / A1,1:大谷健太 / 2:吉岡 誠 / 3:上瀧絢也 / 4:貫地谷直 / 5:廣瀬 凜 / 6:渡辺浩司,1:-勝率|+当地|-モータ|-ST|-級別 / 2:-勝率|+当地|-モータ|-ST / 3:-勝率|+当地|-モータ|-ST|-近況|-級別 / 4:-勝率|+当地|-モータ|-ST|-近況 / 5:+当地|-モータ|+級別 / 6:+勝率|-モータ|+級別,1:-勝率|+当地|-モータ|-ST|-級別 / 2:-勝率|+当地|-モータ|-ST / 3:-勝率|+当地|-モータ|-ST|-近況|-級別 / 4:-勝率|+当地|-モータ|-ST|-近況 / 5:+当地|-モータ|+級別 / 6:+勝率|-モータ|+級別,3-1-5,11790,,,,,,,https://boatrace.jp/owpc/pc/race/resultlist?hd=20260425&jcd=14,2026-04-25 16:16:31 JST,,,100,,,,3連単,2,,4.95,base素材○,base素材○ / 地力上位 / 級別傾向強い,2026-04-25 03:59:01 JST,,0
2026-04-25,09:14,芦屋,2R,2,official_all,★☆☆☆☆,1-4-6 / 1-6-4 / 1-4-5 / 1-6-5 / 1-5-4 / 1-5-6,7.91,AI★★★★★,4-6-5 / 4-6-1 / 4-6-3 / 4-6-2 / 4-5-6 / 4-5-1,base土台◎ / 地力上位 / 当地巧者 / 級別傾向強い / 中枠攻め候補 / インやや強め,8.02,AI★★★★★,1-6-5 / 6-1-5 / 4-6-5 / 3-6-5 / 4-6-1 / 4-6-3,様子見,"公式低評価AI検証 / 朝:base土台◎ / 地力上位 / 当地巧者 / 級別傾向強い / 中枠攻め候補 / インやや強め / base土台を強めに保持 / 直前:展示差ややあり / 展示タイム差を確認 / 気象安定 / 足:足差ややあり / 足:ST気配あり / 部品交換:5,6 / 足:6号艇足色良さげ / 整備:チルト:1:0,2:-0.5,3:-0.5,4:0,5:0,6:0 / 部品交換:5:ピストン,リング,ピストンリング,6:ピストン,リング,ピストンリング,シリンダ,ギヤケース,電気,電気一式,キャブ,キャブレタ,シャフト,クランク / 直前差小で朝寄り / 朝評価をやや優先 / 隊形:6一撃注意 / 1逃げ本線 / 開催:2日目でやや本命寄り",2026-04-25 16:16:30 JST,"[""6.71"", ""6.82"", ""6.79"", ""6.71"", ""6.71"", ""6.69""]",1:2 / 2:6 / 3:5 / 4:2 / 5:2 / 6:1,晴,1.0,1.0,,,0.1,1:0.06 / 2:-0.22 / 3:-0.09 / 4:0.00 / 5:-0.02 / 6:0.20,1:A2 / B2 / A1 / A1 / 2:B2 / B1 / B1 / B1 / 3:B1 / B1 / B1 / B1 / 4:A1 / A1 / A1 / A1 / 5:B1 / B1 / B1 / B1 / 6:B1 / A2 / A2 / A2,1:枝尾 賢 / 2:桂林 寛 / 3:林 恵祐 / 4:原田才一 / 5:田中宏樹 / 6:三苫晃幸,1:-勝率|+当地|-モータ|-ST|+級別 / 2:-勝率|+当地|-モータ|-ST|-級別 / 3:-勝率|+当地|-モータ|-ST|-近況 / 4:+勝率|+当地|-モータ|-近況|+級別 / 5:+当地|-モータ / 6:-モータ|+級別,1:-勝率|+当地|-モータ|-ST|+級別 / 2:-勝率|+当地|-モータ|-ST|-級別 / 3:-勝率|+当地|-モータ|-ST|-近況 / 4:+勝率|+当地|-モータ|-近況|+級別 / 5:+当地|-モータ / 6:-モータ|+級別,1-3-6,4480,,,,,,,https://boatrace.jp/owpc/pc/race/resultlist?hd=20260425&jcd=21,2026-04-25 16:16:31 JST,,,100,,,,3連単,2,,4.47,base素材○,base素材○ / 地力上位 / 当地巧者 / 級別傾向強い / 中枠攻め候補,2026-04-25 03:59:01 JST,,0
2026-04-25,09:24,唐津,3R,3,official_all,★★★★☆,4-1-2 / 4-2-1 / 4-1-3 / 4-2-3 / 4-3-1 / 4-3-2,8.34,AI★★★★★,4-1-6 / 4-1-5 / 4-1-3 / 4-1-2 / 4-6-1 / 4-6-5,base土台○ / 地力上位 / 当地巧者 / 級別傾向強い / 中枠攻め候補 / 攻めやや注意,8.43,AI★★★★★,1-2-4 / 4-1-6 / 4-1-2 / 2-4-1 / 6-2-4 / 1-4-2,見送り寄り,"朝:base土台○ / 地力上位 / 当地巧者 / 級別傾向強い / 中枠攻め候補 / 攻めやや注意 / base土台をやや保持 / 直前:展示差あり / 展示タイム差を確認 / 気象安定 / 足:足差ややあり / 展示F:1注意 / 部品交換:5,6 / 足:4号艇足色良さげ / 整備:チルト:1:-0.5,2:-0.5,3:0,4:-0.5,5:-0.5,6:-0.5 / 部品交換:5:ピストン,リング,ピストンリング,6:ピストン,リング,ピストンリング,シリンダ,ギヤケース,電気,電気一式,キャブ,キャブレタ,シャフト,クランク / 直前差小で朝寄り / 朝評価をやや優先 / 隊形:4攻め注意 / 1逃げ本線",2026-04-25 16:16:30 JST,"[""6.76"", ""6.75"", ""6.80"", ""6.69"", ""6.84"", ""6.75""]",1:4 / 2:2 / 3:5 / 4:1 / 5:6 / 6:2,晴,2.0,2.0,,,0.08,1:0.02 / 2:0.05 / 3:-0.16 / 4:0.33 / 5:-0.38 / 6:-0.04,1:A2 / A1 / A2 / A2 / 2:B2 / A2 / B1 / A2 / 3:B1 / B1 / B1 / B1 / 4:A1 / A1 / A1 / A1 / 5:B1 / B1 / B1 / B1 / 6:B1 / B1 / B1 / B1,1:榎 幸司 / 2:峰重侑治 / 3:片岡秀樹 / 4:小野達哉 / 5:前田健太 / 6:水原 慎,1:-勝率|+当地|-モータ|-ST|+級別 / 2:-勝率|+当地|-モータ|-ST|-級別 / 3:-勝率|+当地|-モータ|-ST|-近況 / 4:+勝率|+当地|-モータ|-近況|+級別 / 5:+当地|-モータ / 6:-モータ,1:-勝率|+当地|-モータ|-ST|+級別 / 2:-勝率|+当地|-モータ|-ST|-級別 / 3:-勝率|+当地|-モータ|-ST|-近況 / 4:+勝率|+当地|-モータ|-近況|+級別 / 5:+当地|-モータ / 6:-モータ,1-4-2,660,,,,,,,https://boatrace.jp/owpc/pc/race/resultlist?hd=20260425&jcd=23,2026-04-25 16:16:31 JST,,,100,,,,3連単,3,,4.12,base素材○,base素材○ / 地力上位 / 当地巧者 / 級別傾向強い / 中枠攻め候補,2026-04-25 03:59:01 JST,,0
2026-04-25,09:32,鳴門,3R,3,official_all,★☆☆☆☆,5-2-3 / 5-3-2 / 5-2-4 / 5-3-4 / 5-4-2 / 5-4-3,4.08,AI★★★★★,5-6-4 / 5-6-3 / 5-6-2 / 5-6-1 / 5-4-6 / 5-4-3,base土台○ / 当地巧者 / 級別傾向強い / インやや強め,4.17,AI★★★★☆,1-2-5 / 5-2-1 / 1-5-2 / 5-6-4 / 5-6-1 / 5-6-2,買い,"公式低評価AI検証 / 朝:base土台○ / 当地巧者 / 級別傾向強い / インやや強め / base土台をやや保持 / 直前:展示差あり / 展示タイム差を確認 / 気象安定 / 足:足差ややあり / 展示F:2,4,6注意 / 足:ST気配あり / 部品交換:5,6 / 足:5号艇足色良さげ / 整備:チルト:1:0,2:0.5,3:0,4:0,5:0,6:-0.5 / 部品交換:5:ピストン,リング,ピストンリング,6:ピストン,リング,ピストンリング,シリンダ,ギヤケース,電気,電気一式,キャブ,キャブレタ,シャフト,クランク / 直前差小で朝寄り / 朝評価をやや優先 / 隊形:1逃げ本線 / 5一撃注意 / 開催:2日目でやや本命寄り",2026-04-25 16:16:30 JST,"[""6.68"", ""6.65"", ""6.81"", ""6.80"", ""6.69"", ""6.79""]",1:2 / 2:1 / 3:6 / 4:5 / 5:3 / 6:4,晴,2.0,2.0,,,0.08,1:0.07 / 2:0.17 / 3:-0.28 / 4:-0.24 / 5:0.12 / 6:-0.24,1:B1 / B1 / B1 / B1 / 2:B1 / B1 / B1 / B1 / 3:B1 / B1 / B1 / A2 / 4:B1 / B1 / B1 / B1 / 5:A2 / A2 / A1 / A2 / 6:B1 / B1 / B1 / B1,1:大井清貴 / 2:垂水 悠 / 3:寳田亮治 / 4:中村裕将 / 5:黒柳浩孝 / 6:松井貫太,1:-勝率|+当地|-モータ|-ST / 2:-勝率|+当地|-モータ|-ST / 3:-勝率|+当地|-モータ|-ST|-近況 / 4:-勝率|+当地|-モータ|-ST|-近況 / 5:+当地|-モータ|+級別 / 6:-モータ,1:-勝率|+当地|-モータ|-ST / 2:-勝率|+当地|-モータ|-ST / 3:-勝率|+当地|-モータ|-ST|-近況 / 4:-勝率|+当地|-モータ|-ST|-近況 / 5:+当地|-モータ|+級別 / 6:-モータ,2-4-3,6590,,,,,,,https://boatrace.jp/owpc/pc/race/resultlist?hd=20260425&jcd=14,2026-04-25 16:16:31 JST,,,100,,,,3連単,2,,1.17,base素材保留,base素材保留 / 当地巧者 / 級別傾向強い,2026-04-25 03:59:01 JST,,0
2026-04-25,09:40,芦屋,3R,3,official_all,★★★☆☆,3-1-5 / 3-5-1 / 3-1-2 / 3-5-2 / 3-2-1 / 3-2-5,6.62,AI★★★★★,3-5-6 / 3-5-4 / 3-5-1 / 3-5-2 / 3-6-5 / 3-6-4,base土台◎ / 当地巧者 / 級別傾向強い / 中枠攻め候補 / インやや強め,6.68,AI★★★★★,1-4-5 / 4-6-5 / 3-5-6 / 2-4-5 / 3-5-4 / 3-5-1,様子見,"公式低評価AI検証 / 朝:base土台◎ / 当地巧者 / 級別傾向強い / 中枠攻め候補 / インやや強め / base土台を強めに保持 / 直前:気象安定 / 展示F:1,2,3注意 / 部品交換:5,6 / 足:4号艇足色良さげ / 整備:チルト:1:-0.5,2:-0.5,3:0,4:0,5:0,6:0 / 部品交換:5:ピストン,リング,ピストンリング,6:ピストン,リング,ピストンリング,シリンダ,ギヤケース,電気,電気一式,キャブ,キャブレタ,シャフト,クランク / 直前差小で朝寄り / 朝評価をやや優先 / 隊形:1逃げ本線 / 開催:2日目でやや本命寄り",2026-04-25 16:16:30 JST,"[""6.76"", ""6.74"", ""6.73"", ""6.75"", ""6.67"", ""6.69""]",1:6 / 2:4 / 3:3 / 4:5 / 5:1 / 6:2,晴,1.0,1.0,,,0.1,1:0.00 / 2:-0.06 / 3:-0.07 / 4:0.02 / 5:0.04 / 6:-0.02,1:A2 / B2 / A2 / A2 / 2:B1 / B1 / B2 / B1 / 3:A1 / A1 / A1 / A1 / 4:B1 / B1 / B1 / B1 / 5:A2 / A2 / A2 / A2 / 6:B1 / B1 / B1 / B1,1:山一鉄也 / 2:松本真広 / 3:羽野直也 / 4:橋本英一 / 5:三川昂暁 / 6:小林遼太,1:-勝率|+当地|-モータ|-ST|+級別 / 2:-勝率|+当地|-モータ|-ST|-級別 / 3:-勝率|+当地|-モータ|-近況|+級別 / 4:-勝率|+当地|-モータ|-ST|-近況 / 5:+当地|-モータ|+級別 / 6:-モータ,1:-勝率|+当地|-モータ|-ST|+級別 / 2:-勝率|+当地|-モータ|-ST|-級別 / 3:-勝率|+当地|-モータ|-近況|+級別 / 4:-勝率|+当地|-モータ|-ST|-近況 / 5:+当地|-モータ|+級別 / 6:-モータ,1-3-5,440,,,,,,,https://boatrace.jp/owpc/pc/race/resultlist?hd=20260425&jcd=21,2026-04-25 16:16:31 JST,,,100,,,,3連単,2,,4.12,base素材○,base素材○ / 当地巧者 / 級別傾向強い / 中枠攻め候補,2026-04-25 03:59:01 JST,,0
2026-04-25,09:50,唐津,4R,4,official_all,★☆☆☆☆,2-4-1 / 2-1-4 / 2-4-3 / 2-1-3 / 2-3-4 / 2-3-1,1.98,AI★★★★☆,4-6-5 / 4-6-2 / 4-6-3 / 4-6-1 / 4-5-6 / 4-5-2,base保留 / 当地巧者 / 級別傾向強い / 中枠攻め候補 / 攻めやや注意,2.03,AI★★★☆☆,1-3-6 / 3-6-2 / 3-6-1 / 2-3-6 / 4-6-3 / 3-6-5,様子見,"公式低評価AI検証 / 朝:base保留 / 当地巧者 / 級別傾向強い / 中枠攻め候補 / 攻めやや注意 / base保留で買い上げ慎重 / 直前:展示差あり / 展示タイム差を確認 / 足:足差あり / 展示F:1注意 / チルト高:6:1.5 / 部品交換:5,6 / 足:4号艇足色良さげ / 整備:チルト:1:0,2:-0.5,3:0,4:-0.5,5:0,6:1.5 / 部品交換:5:ピストン,リング,ピストンリング,6:ピストン,リング,ピストンリング,シリンダ,ギヤケース,電気,電気一式,キャブ,キャブレタ,シャフト,クランク / 直前差中で少し動かす / 隊形:6一撃注意(相手寄り)",2026-04-25 16:16:30 JST,"[""6.77"", ""6.75"", ""6.68"", ""6.83"", ""6.76"", ""6.62""]",1:5 / 2:3 / 3:2 / 4:6 / 5:4 / 6:1,晴,3.0,3.0,,,0.0,1:-0.14 / 2:-0.10 / 3:0.04 / 4:-0.23 / 5:-0.17 / 6:0.17,1:B1 / B1 / B2 / A2 / 2:A2 / B1 / B1 / A2 / 3:B1 / B1 / B1 / B1 / 4:A2 / A2 / A2 / A2 / 5:B1 / B1 / B1 / B1 / 6:B1 / B1 / B1 / B1,1:大久保信 / 2:木下大將 / 3:富田恕生 / 4:田川大貴 / 5:塩崎優司 / 6:重富伸也,1:-勝率|+当地|-モータ|-ST|-級別 / 2:-勝率|+当地|-モータ|-ST|+級別 / 3:-勝率|+当地|-モータ|-ST|-近況 / 4:-勝率|+当地|-モータ|-近況|+級別 / 5:+当地|-モータ / 6:-モータ,1:-勝率|+当地|-モータ|-ST|-級別 / 2:-勝率|+当地|-モータ|-ST|+級別 / 3:-勝率|+当地|-モータ|-ST|-近況 / 4:-勝率|+当地|-モータ|-近況|+級別 / 5:+当地|-モータ / 6:-モータ,1-6-2,8680,,,,,,,https://boatrace.jp/owpc/pc/race/resultlist?hd=20260425&jcd=23,2026-04-25 16:16:31 JST,,,100,,,,3連単,3,,0.17,base素材危険,base素材危険 / 当地巧者 / 級別傾向強い / 中枠攻め候補,2026-04-25 03:59:01 JST,,0
